MALLOC sizeof(Token) (16) @ 0000016CB719ACD0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2A60 | ast.c:576
FREE t @ 0000016CB719ACD0 | ast.c:576
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A00 | tokens.c:98
REALLOC tok @ 0000016CB71A2A00 with (tok_cap) * sizeof('\0') (72) -> @ 0000016CB719F410 | tokens.c:134
MALLOC sizeof(Token) (16) @ 0000016CB719AF10 | tokens.c:136
FREE t @ 0000016CB719AF10 | ast.c:565
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B50 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2B50 | ast.c:569
FREE t @ 0000016CB719AFB0 | ast.c:569
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B70 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AF10 | tokens.c:136
MALLOC strlen(t->string) + 1 (2) @ 0000016CB71A2A60 | ast.c:213
FREE (t)->string @ 0000016CB71A2B70 | ast.c:217
FREE t @ 0000016CB719AF10 | ast.c:217
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A40 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AC50 | tokens.c:136
REALLOC ty @ 0000016CB71A2A60 with len + 1 (3) -> @ 0000016CB71A2B50 | ast.c:222
FREE (t)->string @ 0000016CB71A2A40 | ast.c:217
FREE t @ 0000016CB719AC50 | ast.c:217
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A29D0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AE30 | tokens.c:136
REALLOC ty @ 0000016CB71A2B50 with len + 1 (6) -> @ 0000016CB71A2AE0 | ast.c:222
FREE (t)->string @ 0000016CB71A29D0 | ast.c:226
FREE t @ 0000016CB719AE30 | ast.c:226
REALLOC (&fields)->elements @ 0000016CB719AFD0 with ((&fields)->capacity) * sizeof(field) (48) -> @ 0000016CB719A440 | ast.c:571
REALLOC (&fields_t)->elements @ 0000016CB719ADD0 with ((&fields_t)->capacity) * sizeof(field_t) (48) -> @ 0000016CB719A4C0 | ast.c:572
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B10 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AD30 | tokens.c:136
FREE (t)->string @ 0000016CB71A2B10 | ast.c:581
FREE t @ 0000016CB719AD30 | ast.c:581
MALLOC sizeof(Struct) (56) @ 0000016CB719A480 | ast.c:582
MALLOC l + 1 (4) @ 0000016CB71A2B50 | ast.c:584
MALLOC sizeof(Type) (16) @ 0000016CB719AF10 | ast.c:590
MALLOC sizeof(TypeDef) (16) @ 0000016CB719AE30 | ast.c:593
REALLOC (&types)->elements @ 0000000000000000 with ((&types)->capacity) * sizeof(tydef) (16) -> @ 0000016CB719AFD0 | ast.c:791
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2B70 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AE50 | tokens.c:136
FREE (t)->string @ 0000016CB71A2B70 | ast.c:604
FREE t @ 0000016CB719AE50 | ast.c:604
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A29F0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AF30 | tokens.c:136
FREE t @ 0000016CB719AF30 | ast.c:609
